identifier,title,creator,date,language
300_tang_poems_vol_3_librivox,"Three Hundred Tang Poems, Volume 3",Various,2008-07-19T00:00:00Z,zho
300aesopsfables_ma_librivox,Three Hundred Aesop's Fables,Aesop,2012-06-28T00:00:00Z,eng
30_american_poems_bt_librivox,30 American Poems,Various,2012-06-03T00:00:00Z,eng
30_tempting_spaghetti_meals_2310_librivox,30 Tempting Spaghetti Meals,Campbell Soup Company,2023-10-23T00:00:00Z,eng
30ghoststories_1909_librivox,30 Ghost Stories,Various,2019-09-16T00:00:00Z,eng
32caliber_1003_librivox,32 Caliber,Donald McGibney,2010-03-15T00:00:00Z,eng
333abibliographyscience-fantasy_2409_librivox,333: A Bibliography of the Science-Fantasy Novel,"Joseph H. Crawford, Jr.; Donald M. Grant; James J. Donahue",2024-09-24T00:00:00Z,eng
365_foreign_dishes_1210_librivox,365 Foreign Dishes,Unknown,2012-10-26T00:00:00Z,eng
365_foreign_dishes_2302_librivox,365 Foreign Dishes,Anonymous,2023-02-28T00:00:00Z,eng
37_american_poems_0908_librivox,37 American Poems,Various,2009-08-12T00:00:00Z,eng
39_steps_0807_librivox,The Thirty-nine Steps,John Buchan,2008-07-13T00:00:00Z,eng
3_years_in_europe_1107_librivox,Three Years In Europe,William Wells Brown,2011-07-31T00:00:00Z,eng
3ghoststories_0804_librivox,Three Ghost Stories,Charles Dickens,2008-04-18T00:00:00Z,eng
3john_asv_ss_librivox,The Third Epistle of John,American Standard Version,2007-07-31T00:00:00Z,eng
3sciencefictionstoriesbylesterdelray_1603_librivox,3 Science Fiction Stories by Lester del Ray,Lester del Rey,2016-03-31T00:00:00Z,eng
3sf_stories_by_frank_herbert_1707_librivox,3 Science Fiction Stories by Frank Herbert,Frank Herbert,2017-07-02T00:00:00Z,eng
3sfstoriesbywilliamtenn_1910_librivox,3 Science Fiction Stories,William Tenn,2019-10-17T00:00:00Z,eng
3storiesbygeraldvance_1409_librivox,3 Science Fiction Stories by Gerald Vance,Gerald Vance,2014-09-30T00:00:00Z,eng
3storiesbyjackwilliamson_1908_librivox,3 SF Stories by Jack Williamson,Jack Williamson,2019-08-08T00:00:00Z,eng
3weirdsfstoriesbyfritzleiber_2110_librivox,3 Weird SF Stories by Fritz Leiber,Fritz Leiber,2021-10-25T00:00:00Z,eng
400yearsoffreethought_2401_librivox,"Four Hundred Years of Freethought, Part 1",Samuel Porter Putnam,2024-01-07T00:00:00Z,eng
4sfstoriesby_c_m_kornbluth_2002_librivox,4 SF stories by C. M. Kornbluth,C. M. Kornbluth,2020-02-22T00:00:00Z,eng
4sfstoriesbymackreynolds_2105_librivox,4 SF Stories by Mack Reynolds,Mack Reynolds,2021-05-29T00:00:00Z,eng
4storiesbylouisamayalcott_1608_librivox,4 Stories by Louisa May Alcott,Louisa May Alcott,2016-08-02T00:00:00Z,eng
4thyearanticipations_1812_librivox,In the Fourth Year: Anticipations of a World Peace,H. G. Wells,2018-12-18T00:00:00Z,eng
50_jahre_museumsarbeit_dw_librivox,Fünfzig Jahre Museumsarbeit,Wilhelm von Bode,2010-03-13T00:00:00Z,deu
5belovedstories_ohenry_pc_librivox,Five Beloved Stories By O. Henry,O. Henry,2012-12-08T00:00:00Z,eng
5children_it_v5_1902_librivox,Five Children and It (Version 5),E. Nesbit,2019-02-03T00:00:00Z,eng
5sfstoriesby_mack_reynolds_2106_librivox,5 SF stories by Mack Reynolds,Mack Reynolds,2021-06-29T00:00:00Z,eng
5storiesbymackreynolds_1410_librivox,5 Science Fiction Stories by Mack Reynolds,Mack Reynolds,2014-10-24T00:00:00Z,eng
5thanniversary_vol1_1008_librivox,LibriVox 5th Anniversary Collection Vol. 1,Various,2010-08-10T00:00:00Z,mul
5thanniversary_vol2_1008_librivox,LibriVox 5th Anniversary Collection Vol. 2,Various,2010-08-10T00:00:00Z,mul
5thanniversary_vol3_1008_librivox,LibriVox 5th Anniversary Collection Vol. 3,Various,2010-08-10T00:00:00Z,mul
600recipes_meatlessdishes_2307_librivox,The Golden Rule Cook Book: Six Hundred Recipes for Meatless Dishes,M. R. L. Sharpe,2023-07-11T00:00:00Z,eng
6thanniversary_1108_librivox,LibriVox 6th Anniversary Collection,Various,2011-08-09T00:00:00Z,mul
7th_anniversary_collection_1208_librivox,LibriVox 7th Anniversary Collection,Various,2012-08-09T00:00:00Z,mul
800_amazon_0809_librivox,Eight Hundred Leagues on the Amazon,Jules Verne,2008-09-25T00:00:00Z,eng
80dagen_verne_0904_librivox,De Reis om de Wereld in 80 Dagen,Jules Verne,2009-04-27T00:00:00Z,nld
813_2_2201_librivox,813,Maurice Leblanc,2022-01-26T00:00:00Z,fre
813_cb_librivox,813,Maurice Leblanc,2012-03-27T00:00:00Z,eng
8thanniversary_1308_librivox,LibriVox 8th Anniversary Collection,Various,2013-08-08T00:00:00Z,mul
9unlikelytales_cs_lv2,Nine Unlikely Tales for Children,E. Nesbit,2008-01-11T00:00:00Z,eng
AS12_1503_librivox,"Astounding Stories 12, December 1930",Captain S. P. Meek; Harl Vincent; Charles W. Diffin; Sophie Wenzel Ellis; David R. Sparks,2015-03-13T00:00:00Z,eng
AS13_1504_librivox,"Astounding Stories 13, January 1931",Sewell Peaslee Wright; Murray Leinster; Hal K. Wells; Charles W. Diffin; Harold Thompson Rich,2015-04-19T00:00:00Z,eng
A_Christmas_Carol,A Christmas Carol,Charles Dickens,2005-12-11T00:00:00Z,eng
AlanDavisDrakeCollection,Alan Davis Drake Collection,Various,2011-04-05T00:00:00Z,
Book_of_Art_Illustrations_lv,The Book of Art for Young People-16 full-color paintings to accompany the audio,Agnes Ethel Conway and Sir Martin Conway,2008-03-17T00:00:00Z,
BradBushLibriVoxTheme_0,LibriVox Theme,Brad Bush,,
CharterhouseParma_2311_librivox,The Charterhouse of Parma,Stendhal,2023-11-06T00:00:00Z,eng
ChrisBoothCollection,Chris Booth Collection,,2010-08-12T00:00:00Z,
Decline_and_Fall6_0812_librivox1,The History of the Decline and Fall of the Roman Empire Vol. VI,Edward Gibbon,2008-12-31T00:00:00Z,eng
Drie_korte_verhalen_dickens_1106_librivox,Drie Korte Verhalen van Charles Dickens,Charles Dickens,2011-06-20T00:00:00Z,nld
Iphigenie_Goethe_1010_librivox,"Iphigenie auf Tauris, Ein Schauspiel",Johann Wolfgang von Goethe,2010-10-01T00:00:00Z,deu
KingArthurADrama,King Arthur: A Drama,Joseph Comyns Carr,2013-04-29T00:00:00Z,eng
LibrivoxBookOfConcord,Librivox Book Of Concord,Librivox Volunteers,2012-02-03T00:00:00Z,eng
LibrivoxCDCoverArt37,LibrivoxCDCoverArt37,Librivox cover makers,,
LibrivoxCollectionM4BAudiobook10,LibrivoxCollectionM4BAudiobook10,Librivox Volunteers,2011-03-29T00:00:00Z,
LibrivoxM4bCollectionAudiobooks,Librivox M4B collection audiobooks 1,Librivox Volunteers,2010-03-18T00:00:00Z,
LibrivoxM4bCollectionAudiobooks1a,Librivox M4B collection audiobooks 1A,,2012-02-07T00:00:00Z,
LibrivoxM4bCollectionAudiobooks1b,Librivox M4B collection audiobooks 1B,,,eng
LibrivoxM4bCollectionAudiobooks2,Librivox M4B collection audiobooks 2,Librivox Volunteers,2010-04-14T00:00:00Z,
LibrivoxM4bCollectionAudiobooks3,Librivox M4B collection Audiobooks 3,Librivox Volunteers,2010-05-18T00:00:00Z,
LibrivoxM4bCollectionAudiobooks4,Librivox M4B collection Audiobooks 4,Librivox Volunteers,2010-05-21T00:00:00Z,
LibrivoxM4bCollectionAudiobooks5,Librivox M4B collection Audiobooks 5,studentoflogic@gmail.com,2010-05-27T00:00:00Z,
LibrivoxM4bCollectionAudiobooks6,Librivox M4B collection audiobooks 6,des bénévoles de LibriVox,,
LibrivoxM4bCollectionAudiobooksMain,Librivox M4b Collection Audiobooks Main,LibriVox Volunteers,2012-11-24T00:00:00Z,
LibrivoxM4bCollectionAudiobooks_11,LibrivoxM4B Collection Audiobooks_11,Librivox Volunteers,2011-11-23T00:00:00Z,
LibrivoxM4bCollectionAudiobooks_13,LibrivoxM4bCollectionAudiobooks_13,Librivox Volunteers,2012-11-23T00:00:00Z,
LibrivoxM4bCollectionAudiobooks_14,LibrivoxM4bCollectionAudiobooks_14,Librivox Volunteers,,
LibrivoxM4bCollectionAudiobooks_15,LibrivoxM4bCollectionAudiobooks_15,Librivox Volunteers,2014-01-11T00:00:00Z,eng
LibrivoxM4bCollectionAudiobooks_21,Librivox M4B collectie Audioboeken in het Nederlands 21,,,dut
LibrivoxM4bCollectionAudiobooks_22,Librivox M4B Collection Audiobooks 22,,,eng
LibrivoxM4bCollectionAudiobooks_7,Librivox M4B collection Audiobooks_7,Librivox Volunteers,2010-10-03T00:00:00Z,
LibrivoxM4bCollectionAudiobooks_8,Librivox M4B collectie Audioboeken in het Nederlands,Librivox Volunteers,2010-10-03T00:00:00Z,
LibrivoxM4bCollectionAudiobooks_9,Librivox M4B collection Audiobooks_9,Librivox Volunteers,2010-10-19T00:00:00Z,
Librivoxm4bCollectionAudiobooks_12,LibrivoxM4B Collection Audiobooks_12,Librivox Volunteers,2012-03-13T00:00:00Z,
Librivoxm4bcollectionaudiobooks7,LibrivoxM4BcollectionAudiobooks 7,Librivox Volunteers,2010-10-02T00:00:00Z,
MarkTwainsburlesqueAutobiographyAndFirstRomance,Mark Twain's (Burlesque) Autobiography and First Romance,Mark Twain,2010-03-20T00:00:00Z,eng
Paramythi_horis_onoma_1303_librivox,Παραμύθι χωρίς όνομα (Tale Without Name),Πηνελόπη Δέλτα,2013-03-23T00:00:00Z,ell
Poezdka_Polesye_librivox,Poezdka v Polesye,Ivan Turgenev,2006-04-05T00:00:00Z,rus
Regulations_for_troops_Steuben,Regulations for the order and discipline of the troops of the United States : part I,Baron Friedrich Wilhelm Ludolf Gerhard Augustin von Steuben,2013-04-11T00:00:00Z,eng
SSF_092_2304_librivox,Short Science Fiction Collection 092,Various; ; ;,2023-05-01T00:00:00Z,eng
ThoughtsThings11311Thumb,Thumbs 01B,,,
Thumbs07,Thumbs 07,LibriVox Covermakers,,
Thumbs08,Thumbs 08,LV Covermakers,,
Thumbs09,Thumbs 09,LibriVox Covermakers,,
Thumbs14,Thumbs 14,LibriVox Covermakers,2018-06-05T00:00:00Z,eng
To_His_Coy_Mistress,To His Coy Mistress,Andrew Marvell,2006-07-30T00:00:00Z,eng
Tumbs10humb,Thumbs 10,LibriVox Covermakers,2016-08-01T00:00:00Z,
Von_der_Kuerze_des_Lebens_0906_librivox,Von der Kuerze des Lebens,Lucius Annaeus Seneca,2009-06-26T00:00:00Z,deu
a_bachelors_dream_1908_librivox,A Bachelor's Dream,Mrs. Hungerford,2019-08-07T00:00:00Z,eng
a_bid_for_fortune_1511_librivox,"A Bid For Fortune; Or, Dr Nikola's Vendetta",Guy Boothby,2015-11-02T00:00:00Z,eng
a_bit_of_color_2009.poem_librivox,A Bit of Color,Arthur Macy,2020-09-06T00:00:00Z,eng
a_cabinet_secret_1406_librivox,A Cabinet Secret,Guy Boothby,2014-06-24T00:00:00Z,eng
a_calendar_of_sonnets_1910_librivox,A Calendar of Sonnets,Helen Hunt Jackson,2019-10-19T00:00:00Z,eng
a_canadian_summer_evening_1708.poem_librivox,A Canadian Summer Evening,Rosanna Eleanor Leprohon,2017-08-21T00:00:00Z,eng
a_chicago_princess_1709_librivox,A Chicago Princess,Robert Barr,2017-09-14T00:00:00Z,eng
a_christmas_hamper_2103_librivox,A Christmas Hamper: Full of Pictures and Tales,Various,2021-03-03T00:00:00Z,eng
a_christmas_honeymoon_2012_librivox,A Christmas Honeymoon,Frances Aymar Mathews,2020-12-03T00:00:00Z,eng
a_christmas_miscellany_1609_librivox,A Christmas Miscellany,Various,2016-09-18T00:00:00Z,eng
a_christmas_miscellany_1909_librivox,A Christmas Miscellany 2019,Various,2019-09-08T00:00:00Z,eng
a_christmas_miscellany_2018_1807_librivox,A Christmas Miscellany 2018,Various,2018-07-16T00:00:00Z,eng
a_commonplace_day_2203.poem_librivox,A Commonplace Day,Thomas Hardy,2022-03-13T00:00:00Z,eng
a_contented_man_2109.poem_librivox,A Contented Man,Ivan Turgenev,2021-09-12T00:00:00Z,eng
a_country_doctor_1504_librivox,A Country Doctor,Sarah Orne Jewett,2015-04-22T00:00:00Z,eng
a_cup_of_tea_1605.poem_librivox,A Cup of Tea,James Whitcomb Riley,2016-05-29T00:00:00Z,eng
a_daily_rate_1812_librivox,A Daily Rate,Grace Livingston Hill,2018-12-09T00:00:00Z,eng
a_dark_month_1611_librivox,A Dark Month,Algernon Charles Swinburne,2016-11-05T00:00:00Z,eng
a_daughter_of_today_2012_librivox,A Daughter of Today,Sara Jeannette Duncan,2020-12-18T00:00:00Z,eng
a_day_with_great_poets_1308_librivox,A Day With Great Poets,,2013-08-31T00:00:00Z,eng
a_deal_with_the_devil_1902_librivox,A Deal With The Devil,Eden Phillpotts,2019-02-11T00:00:00Z,eng
a_deep-sworn_vow_1601.poem_librivox,A Deep-Sworn Vow,William Butler Yeats,2016-01-17T00:00:00Z,eng
a_dolls_house_2104_librivox,A Doll's House,Henrik Ibsen,2021-04-14T00:00:00Z,eng
a_dozen_short_stories_from_h_g_wells_2206_librivox,A Dozen Short Stories from H. G. Wells,H. G. Wells,2022-06-24T00:00:00Z,eng
a_dozen_ways_of_love_1411_librivox,A Dozen Ways of Love,Lily Dougall,2014-11-21T00:00:00Z,eng
a_dreadful_temptation_2106_librivox,A Dreadful Temptation,Mrs. Alex McVeigh Miller,2021-06-19T00:00:00Z,eng
a_dreamers_tales_dm_1501_librivox,A Dreamer's Tales,Lord Dunsany,2015-01-12T00:00:00Z,eng
a_drop_in_infinity_2311_librivox,A Drop in Infinity,Gerald Grogan,2023-11-04T00:00:00Z,eng
a_fish_answers_0811_librivox,A Fish Answers,James Leigh Hunt,2008-11-09T00:00:00Z,eng
a_gift_1602.poem_librivox,A Gift,Amy Lowell,2016-02-07T00:00:00Z,eng
a_handbook_of_cookery_2310_librivox,A Handbook of Cookery for a Small House,Jessie Conrad,2023-10-02T00:00:00Z,eng
a_history_of_california_the_spanish_period_1904_librivox,A History of California: The Spanish Period,Charles Edward Chapman,2019-04-14T00:00:00Z,eng
a_history_of_freedom_of_thought_2112_librivox,A History of Freedom of Thought,John Bagnell Bury,2021-12-20T00:00:00Z,eng
a_history_of_our_own_times_vol_ii_1907_librivox,"A History of Our Own Times From the Accession of Queen Victoria to the General Election of 1880, Volume II",Justin McCarthy,2019-07-30T00:00:00Z,eng
a_history_of_the_papacy_volume_i_2308_librivox,"A History of the Papacy from the Great Schism to the Sack of Rome, Volume I",Mandell Creighton,2023-08-04T00:00:00Z,eng
a_japanese_boy_2106_librivox,A Japanese Boy,Shigemi Shiukichi,2021-06-18T00:00:00Z,eng
a_key_to_uncle_toms_cabin_1812_librivox,A Key To Uncle Tom's Cabin,Harriet Beecher Stowe,2018-12-27T00:00:00Z,eng
a_late_good_night_1701.poem_librivox,A Late Good Night,Robert F. Murray,2017-01-01T00:00:00Z,eng
a_lifes_morning_1408_librivox,A Life's Morning,George Gissing,2014-08-09T00:00:00Z,eng
a_lincoln_conscript_2104_librivox,A Lincoln Conscript,Homer Greene,2021-04-30T00:00:00Z,eng
a_lost_lady_1901_librivox,A Lost Lady,Willa Sibert Cather,2019-01-07T00:00:00Z,eng
a_lovers_litanies_1805_librivox,A Lover's Litanies,Eric Mackay,2018-05-27T00:00:00Z,eng
a_maiden_to_her_mirror_2103.poem_librivox,A Maiden To Her Mirror,Ella Wheeler Wilcox,2021-03-14T00:00:00Z,eng
a_managers_perplexities_1605.poem_librivox,Ballad: A Manager's Perplexities,W. S. Gilbert,2016-05-22T00:00:00Z,eng
a_mao_e_a_luva_1401_librivox,A Mão e a Luva,Joaquim Maria Machado de Assis,2014-01-31T00:00:00Z,por
a_margem_da_historia_1903_librivox,À margem da história,Euclides da Cunha,2019-03-18T00:00:00Z,por
a_marriage_at_sea_1406_librivox,A Marriage at Sea,William Clark Russell,2014-06-23T00:00:00Z,eng
a_mirror_of_shalott_1901_librivox,A Mirror Of Shalott,Robert Hugh Benson,2019-01-30T00:00:00Z,eng
a_modern_grandmother_2312.poem_librivox,A Modern Grandmother,Helen Leah Reed,2023-12-10T00:00:00Z,eng
a_modern_mephistopheles_2211_librivox,A Modern Mephistopheles,Louisa May Alcott,2023-03-05T00:00:00Z,eng
a_mothers_song_2005.poem_librivox,A Mother's Song,Anna Hempstead Branch,2020-05-17T00:00:00Z,eng
a_mysterious_disappearance_ck_librivox,A Mysterious Disappearance,Louis Tracy,2011-06-21T00:00:00Z,eng
a_mystery_1703.poem_librivox,A Mystery,John Greenleaf Whittier,2017-03-26T00:00:00Z,eng
a_new_year_2301.poem_librivox,A New Year,Dora Sigerson Shorter,2023-01-01T00:00:00Z,eng
a_petition_to_time_1607.poem_librivox,A Petition to Time,Barry Cornwall,2016-07-31T00:00:00Z,eng
a_photograph_1908.poem_librivox,A Photograph,John Charles McNeill,2019-08-18T00:00:00Z,eng
a_pin_1612.poem_librivox,A Pin,Ella Wheeler Wilcox,2016-12-11T00:00:00Z,eng
a_plea_for_our_northern_winters_2102.poem_librivox,A Plea For Our Northern Winters,Rosanna Eleanor Leprohon,2021-02-21T00:00:00Z,eng
a_poetical_cook-book_1608_librivox,A Poetical Cook-Book,Maria J. Moss,2016-08-14T00:00:00Z,eng
a_queen_1604_librivox,A Queen,Ottilie Wildermuth,2016-04-03T00:00:00Z,eng
a_reading_of_life_1808_librivox,"A Reading of Life, with Other Poems",George Meredith,2018-08-18T00:00:00Z,eng
a_reliquia_1403_librivox,A Relíquia,José Maria de Eça de Queirós,2014-03-03T00:00:00Z,por
a_republic_without_a_president_and_other_stories_2301_librivox,"A Republic Without A President, and Other Stories",Herbert Ward,2023-01-24T00:00:00Z,eng
a_rhyme_about_an_electrical_advertising_sign_2302.poem_librivox,A Rhyme about an Electrical Advertising Sign,Vachel Lindsay,2023-02-26T00:00:00Z,eng
a_roadside_harp_1803_librivox,A Roadside Harp,Louise Imogen Guiney,2018-03-28T00:00:00Z,eng
a_rogues_life_1410_librivox,A Rogue's Life,Wilkie Collins,2014-10-13T00:00:00Z,eng
a_se_tordre_0808_librivox_1,À se tordre,Alphonse Allais,2008-08-21T00:00:00Z,fre
a_short_history_of_france_2111_librivox,A Short History of France,Agnes Mary Frances Robinson,2021-11-04T00:00:00Z,eng
